Filename,Top_left_lat,Top_left_lon,Bottom_right_lat,Bottom_right_long
zoom_18/52512_100199.png,38.98610025,-107.8857422,38.98503279,-107.8843689
zoom_18/52512_100200.png,38.98503279,-107.8857422,38.98396531,-107.8843689
zoom_18/52512_100201.png,38.98396531,-107.8857422,38.98289781,-107.8843689
zoom_18/52512_100202.png,38.98289781,-107.8857422,38.98183029,-107.8843689
zoom_18/52512_100203.png,38.98183029,-107.8857422,38.98076277,-107.8843689
zoom_18/52512_100204.png,38.98076277,-107.8857422,38.97969522,-107.8843689
zoom_18/52513_100195.png,38.99036995,-107.8843689,38.98930255,-107.8829956
zoom_18/52513_100196.png,38.98930255,-107.8843689,38.98823513,-107.8829956
zoom_18/52513_100197.png,38.98823513,-107.8843689,38.9871677,-107.8829956
zoom_18/52513_100198.png,38.9871677,-107.8843689,38.98610025,-107.8829956
zoom_18/52513_100199.png,38.98610025,-107.8843689,38.98503279,-107.8829956
zoom_18/52513_100200.png,38.98503279,-107.8843689,38.98396531,-107.8829956
zoom_18/52513_100201.png,38.98396531,-107.8843689,38.98289781,-107.8829956
zoom_18/52513_100202.png,38.98289781,-107.8843689,38.98183029,-107.8829956
zoom_18/52513_100203.png,38.98183029,-107.8843689,38.98076277,-107.8829956
zoom_18/52513_100204.png,38.98076277,-107.8843689,38.97969522,-107.8829956
zoom_18/52514_100195.png,38.99036995,-107.8829956,38.98930255,-107.8816223
zoom_18/52514_100196.png,38.98930255,-107.8829956,38.98823513,-107.8816223
zoom_18/52514_100197.png,38.98823513,-107.8829956,38.9871677,-107.8816223
zoom_18/52514_100198.png,38.9871677,-107.8829956,38.98610025,-107.8816223
zoom_18/52514_100199.png,38.98610025,-107.8829956,38.98503279,-107.8816223
zoom_18/52514_100200.png,38.98503279,-107.8829956,38.98396531,-107.8816223
zoom_18/52514_100201.png,38.98396531,-107.8829956,38.98289781,-107.8816223
zoom_18/52514_100202.png,38.98289781,-107.8829956,38.98183029,-107.8816223
zoom_18/52514_100203.png,38.98183029,-107.8829956,38.98076277,-107.8816223
zoom_18/52514_100204.png,38.98076277,-107.8829956,38.97969522,-107.8816223
zoom_18/52515_100195.png,38.99036995,-107.8816223,38.98930255,-107.880249
zoom_18/52515_100196.png,38.98930255,-107.8816223,38.98823513,-107.880249
zoom_18/52515_100197.png,38.98823513,-107.8816223,38.9871677,-107.880249
zoom_18/52515_100198.png,38.9871677,-107.8816223,38.98610025,-107.880249
zoom_18/52515_100199.png,38.98610025,-107.8816223,38.98503279,-107.880249
zoom_18/52515_100200.png,38.98503279,-107.8816223,38.98396531,-107.880249
zoom_18/52515_100201.png,38.98396531,-107.8816223,38.98289781,-107.880249
zoom_18/52515_100202.png,38.98289781,-107.8816223,38.98183029,-107.880249
zoom_18/52515_100203.png,38.98183029,-107.8816223,38.98076277,-107.880249
zoom_18/52515_100204.png,38.98076277,-107.8816223,38.97969522,-107.880249
zoom_18/52516_100195.png,38.99036995,-107.880249,38.98930255,-107.8788757
zoom_18/52516_100196.png,38.98930255,-107.880249,38.98823513,-107.8788757
zoom_18/52516_100197.png,38.98823513,-107.880249,38.9871677,-107.8788757
zoom_18/52516_100198.png,38.9871677,-107.880249,38.98610025,-107.8788757
zoom_18/52516_100199.png,38.98610025,-107.880249,38.98503279,-107.8788757
zoom_18/52516_100200.png,38.98503279,-107.880249,38.98396531,-107.8788757
zoom_18/52516_100201.png,38.98396531,-107.880249,38.98289781,-107.8788757
zoom_18/52516_100202.png,38.98289781,-107.880249,38.98183029,-107.8788757
zoom_18/52516_100203.png,38.98183029,-107.880249,38.98076277,-107.8788757
zoom_18/52516_100204.png,38.98076277,-107.880249,38.97969522,-107.8788757
zoom_18/52517_100195.png,38.99036995,-107.8788757,38.98930255,-107.8775024
zoom_18/52517_100196.png,38.98930255,-107.8788757,38.98823513,-107.8775024
zoom_18/52517_100197.png,38.98823513,-107.8788757,38.9871677,-107.8775024
zoom_18/52517_100198.png,38.9871677,-107.8788757,38.98610025,-107.8775024
zoom_18/52517_100199.png,38.98610025,-107.8788757,38.98503279,-107.8775024
zoom_18/52517_100200.png,38.98503279,-107.8788757,38.98396531,-107.8775024
zoom_18/52517_100201.png,38.98396531,-107.8788757,38.98289781,-107.8775024
zoom_18/52517_100202.png,38.98289781,-107.8788757,38.98183029,-107.8775024
zoom_18/52517_100203.png,38.98183029,-107.8788757,38.98076277,-107.8775024
zoom_18/52517_100204.png,38.98076277,-107.8788757,38.97969522,-107.8775024
